127.0.0.1 - - [25/May/2023:10:18:17 +0200] "GET / HTTP/1.1" 404 687
0:0:0:0:0:0:0:1 - - [25/May/2023:10:18:37 +0200] "GET /DAWFarmacia/ServeXips?mail=null&session=null HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [25/May/2023:10:20:01 +0200] "GET /DAWFarmacia/Login?mail=victor&pass=victor HTTP/1.1" 200 9
0:0:0:0:0:0:0:1 - - [25/May/2023:10:34:44 +0200] "GET /DAWFarmacia/ServeXips?mail=null&session=null HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [25/May/2023:10:34:46 +0200] "GET /DAWFarmacia/ServPatients?mail=null&session=null HTTP/1.1" 404 715
0:0:0:0:0:0:0:1 - - [25/May/2023:10:34:46 +0200] "GET /DAWFarmacia/ServMedicines?mail=null&session=null HTTP/1.1" 404 716
0:0:0:0:0:0:0:1 - - [25/May/2023:10:36:01 +0200] "GET /DAWFarmacia/ServPatients?mail=null&session=null HTTP/1.1" 404 715
0:0:0:0:0:0:0:1 - - [25/May/2023:10:36:01 +0200] "GET /DAWFarmacia/ServMedicines?mail=null&session=null HTTP/1.1" 404 716
0:0:0:0:0:0:0:1 - - [25/May/2023:10:36:28 +0200] "GET /DAWFarmacia/ServMedicines?mail=null&session=null HTTP/1.1" 404 716
0:0:0:0:0:0:0:1 - - [25/May/2023:10:36:28 +0200] "GET /DAWFarmacia/ServPatients?mail=null&session=null HTTP/1.1" 404 715
0:0:0:0:0:0:0:1 - - [25/May/2023:10:36:32 +0200] "GET /DAWFarmacia/ServMedicines?mail=null&session=null HTTP/1.1" 404 716
0:0:0:0:0:0:0:1 - - [25/May/2023:10:36:32 +0200] "GET /DAWFarmacia/ServPatients?mail=null&session=null HTTP/1.1" 404 715
0:0:0:0:0:0:0:1 - - [25/May/2023:10:36:48 +0200] "GET /DAWFarmacia/ServeXips?mail=null&session=null HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [25/May/2023:10:36:51 +0200] "GET /DAWFarmacia/ServMedicines?mail=null&session=null HTTP/1.1" 404 716
0:0:0:0:0:0:0:1 - - [25/May/2023:10:36:51 +0200] "GET /DAWFarmacia/ServPatients?mail=null&session=null HTTP/1.1" 404 715
0:0:0:0:0:0:0:1 - - [25/May/2023:10:41:43 +0200] "GET /DAWFarmacia/ServeXips?mail=null&session=null HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [25/May/2023:10:41:45 +0200] "GET /DAWFarmacia/ServPatients?mail=null&session=null HTTP/1.1" 404 715
0:0:0:0:0:0:0:1 - - [25/May/2023:10:41:45 +0200] "GET /DAWFarmacia/ServMedicines?mail=null&session=null HTTP/1.1" 404 716
0:0:0:0:0:0:0:1 - - [25/May/2023:10:44:38 +0200] "GET /DAWFarmacia/ServMedicines?mail=null&session=null HTTP/1.1" 404 716
0:0:0:0:0:0:0:1 - - [25/May/2023:10:44:38 +0200] "GET /DAWFarmacia/ServPatients?mail=null&session=null HTTP/1.1" 404 715
0:0:0:0:0:0:0:1 - - [25/May/2023:10:44:43 +0200] "GET /DAWFarmacia/ServeXips?mail=null&session=null HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [25/May/2023:10:44:46 +0200] "GET /DAWFarmacia/ServMedicines?mail=null&session=null HTTP/1.1" 404 716
0:0:0:0:0:0:0:1 - - [25/May/2023:10:44:46 +0200] "GET /DAWFarmacia/ServPatients?mail=null&session=null HTTP/1.1" 404 715
0:0:0:0:0:0:0:1 - - [25/May/2023:10:44:48 +0200] "GET /DAWFarmacia/ServeXips?mail=null&session=null HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [25/May/2023:10:47:14 +0200] "GET /DAWFarmacia/ServPatients?mail=null&session=null HTTP/1.1" 404 715
